idea_topic,segment_id,segment_text,tagged_ccp_topics
"Acciones de salud. Son los ámbitos de protección del derecho a la salud que el legislador garantiza mediante prestaciones pro mocionales, protectoras, recuperativas y rehabilitadoras de la misma, que constituyen el objeto del derecho constitucional contemplado en el art. 19 Nº 9. Las acciones de salud constitucionalmente reguladas son cuatro: acciones de promoción, protección, recuperación y rehabilitación del in dividuo (véase, “Derecho a la protección de la salud”).",Venezuela_2009/291,"Health is a fundamental social right and the responsibility of the State, which shall guarantee it as part of the right to life. The State shall promote and develop policies oriented toward improving the quality of life, common welfare and access to services. All persons have the right to protection of health, as well as the duty to participate actively in the furtherance and protection of the same, and to comply with such health and hygiene measures as may be established by law, and in accordance with international conventions and treaties signed and ratified by the Republic.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Iceland_2013/36,Ministers are accountable for all executive acts. The accountability of the Ministers is established by law. Althingi may impeach Ministers on account of their official acts. The Court of Impeachment has competence in such cases.,
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Sweden_2012/616,"A person who is currently, or who has been previously, a minister may only be held accountable for a criminal act committed in the performance of his or her ministerial duties only if he or she has grossly neglected his or her official duty by committing the criminal act. A decision to institute criminal proceedings shall be taken by the Committee on the Constitution and the case tried before the Supreme Court.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Samoa_2017/623,"The Head of State, acting (in the case of the Chief Justice) on the advice of the Prime Minister or (in the case of any other Judge of the Supreme Court) on the advice of the Judicial Service Commission, may at any time when the Legislative Assembly is not meeting suspend a Judge of the Supreme Court from his or her office, and such suspension, unless previously revoked, shall continue in force until the end of the next ensuing session and no longer.",['jc']
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Niger_2017/324,"The acts of the Prime Minister are countersigned, the case arising, by the Ministers charged with their execution.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Egypt_2019/332,"Court decisions shall be issued and implemented in the name of the people. The state guarantees the means of implementing them as regulated by the law. Refraining from implementing or impeding implementation by the competent public servants is a crime that is punishable by law. The prevailing party in such a case may file a criminal suit directly with the competent court. Upon the request of the prevailing party, the public prosecution must raise criminal proceedings against the public servant who refrained from implementing the decision or impeded it.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Greece_2008/854,"A motion for prosecution is submitted by at least thirty Members of Parliament. The Parliament, by resolution adopted by the absolute majority of the total number of its Members, sets up a special parliamentary committee to conduct a preliminary examination; otherwise the motion is rejected as manifestly unfounded. The findings of the committee of the preceding section are introduced to the Plenum of Parliament, which decides whether prosecution shall start or not. The relevant resolution is adopted by an absolute majority of the total number of Members of Parliament.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Senegal_2016/485,"The Prime Minister and the other members of the Government are criminally responsible for acts accomplished in the exercise of their functions and [that are] qualified as crimes or misdemeanors at the moment when they were committed. They are judged by the High Court of Justice. The procedure defined above is applicable to them, as well as to their accomplices, in the case of conspiracy against the security of the State. In the cases specified in this paragraph, the High Court is bound by the definition of crimes and misdemeanors as well as by the determination of the penalties, such as they result from the criminal laws in force at the moment when the acts were committed.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Belgium_2014/578,"Ministers are tried exclusively by the appeal court for offences they have allegedly committed in the exercise of their duties. The same rule applies in the case of offences allegedly committed by ministers outside the exercise of their duties and for which they are tried during the exercise of their duties. As the case may be, Articles 59 and 120 are not applicable.",
"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Mauritania_2012/372,"The Prime Minister and the members of the Government are criminally responsible for the acts accomplished in the exercise of their functions and qualified as crimes or misdemeanors at the moment when they were committed. The procedure defined above is applicable to them as well as to their accomplices in the case of conspiracy against the security of the State. In the case specified in the present paragraph, the High Court of Justice is bound by the definition of crimes and misdemeanors as well as by the determination of the penalties as they result from the criminal laws in force at the moment when the acts were committed.",
"Acuerdos parlamentarios. Son las decisiones camara les que adopta el Senado o la Cámara de Diputados sobre el mérito de distintas cuestiones políticas relativas al gobierno y la administración del  Estado, tanto de orden nacional como internacional.",Madagascar_2010/319,The Parliament is composed of the National Assembly and the Senate. It votes the law. It controls the action of the Government. It evaluates the public policies.,
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Burkina_Faso_2015/215,The Government is an organ of the Executive.,
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Turkey_2017/628,"The State Supervisory Council which was established under the Office of the Presidency of the Republic, with the purpose of ensuring the lawfulness, regular and efficient functioning and improvement of administration, conduct all administrative investigations, inquiries, investigations and inspections of all public bodies and organizations, all enterprises in which those public bodies and organizations share more than half of the capital, public professional organizations, employers’ associations and labour unions at all levels, and public welfare associations and foundations, upon the request of the President of the Republic.",
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",China_2018/491,"The organs of self-government of autonomous regions, prefectures and counties exercise the functions and powers of local organs of state as specified in Section V of Chapter III of the Constitution. At the same time, they exercise the right of autonomy within the limits of their authority as prescribed by the Constitution, the law of regional national autonomy and other laws, and implement the laws and policies of the state in the light of the existing local situation.",
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Macedonia_2011/376,The state administration consists of Ministries and other administrative bodies and organizations determined by law. Political organization and activities within bodies of state administration are prohibited. The organization and work of the bodies of state administration are regulated by a law to be adopted by a two-thirds majority vote of all Representatives.,
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Honduras_2013/13,"The form of government is republican, democratic and representative. It is exercised by three branches: Legislative, Executive and Judicial, which are complementary, independent, and not subordinate to one another.",['system']
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Honduras_2013/1497,"The state may establish zones of the country subject to special regimes which shall have juridical personality, and are subject to a special fiscal regime and may incur obligations which do not require the guarantee or collateral of the state in solidarity, and may create contracts until the fulfillment of their timely objectives and during various governments. They shall enjoy functional and administrative autonomy that shall include the functions, abilities, and obligations that the Constitution and the laws confer on the municipalities.",
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Venezuela_2009/575,"Each State shall have a Comptroller’s Office which shall enjoy structural and operating autonomy. The State Comptroller’s Office shall exercise, in accordance with this Constitution and in accordance with law, control, vigilance and auditing authority over state revenues, expenses and assets, without prejudice to the scope of the functions of the Office of the General Comptroller of the Republic. This body shall act under the direction and responsibility of a Comptroller, whose qualifications to serve in this position shall be determined by law, guaranteeing his capability and independence, as well as the neutrality of his appointment, which shall be by public competition.",
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Dominican_Republic_2015/12,"The government of the Nation is essentially civilian, republican, democratic, and representative. It is divided in the Legislative Power, the Executive Power, and the Judicial Power. These three powers are independent in the exercise of their respective duties. Their officials are responsible and may not delegate their responsibilities, which are determined solely by this Constitution and the law.",
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Dominican_Republic_2015/1203,"The National District, the municipalities and municipal districts constitute the base of the local political administrative system. They are juridical persons of Public Right, responsible for their actions, enjoy their own patrimony, budgetary autonomy, with normative and administrative power and the power of the use of their land, fixed in express manner by the law and subject to the power of supervision of the State and to the social control of the citizenry, in the terms established by this Constitution and the laws.",
"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Chile_2021/839,"An autonomous body with the name of Office of the Comptroller General of the Republic shall exercise control over the legality of the accts of the Administration, will oversee the income and investment of funds from the Treasury, municipalities and other organisms and services that the laws determine; will review and judge the accounts of people who have been entrusted with goods from those entities; will be in charge of the general accounting of the Nation; and will perform the other functions that are assigned to it by the respective constitutional organic law.",
"Administración financiera del estado. Véase “Constitución económica” [Es el plexo normativo constitucional que regula los principios orientadores de la economía, los instrumentos de política económica, los derechos constitucionales de la esfera económica y el diseño institucional de la administración financiera del Estado.]. Véase “Sistema presupuestario” [Conjunto de principios y reglas que rigen la preparación, aprobación, ejecución y control del presupuesto de la Nación.].",Sweden_2012/2360,"State expenditure shall be referred to the following expenditure areas: 1 Governance; 2 Economy and financial administration; 3 Taxes, customs and enforcement; 4 Justice; 5 International cooperation; 6 Defence and contingency measures; 7 International development cooperation; 8 Migration; 9 Health and medical care, social services; 10 Financial security for the sick and disabled; 11 Financial security for the elderly; 12 Financial security for families and children; 13 Integration and gender equality; 14 The labour market and working life; 15 Financial support for students; 16 Education and academic research; 17 Culture, media, religious communities, leisure; 18 Community planning, housing provision, construction and consumer policy; 19 Regional development; 20 General environmental protection and nature conservation; 21 Energy; 22 Transport and communications; 23 Agricultural sciences, rural areas and food; 24 Industry and trade; 25 General grants to local government; 26 Interest on central government debt, etc.; and 27 The contribution to the European Union.",
"Administración financiera del estado. Véase “Constitución económica” [Es el plexo normativo constitucional que regula los principios orientadores de la economía, los instrumentos de política económica, los derechos constitucionales de la esfera económica y el diseño institucional de la administración financiera del Estado.]. Véase “Sistema presupuestario” [Conjunto de principios y reglas que rigen la preparación, aprobación, ejecución y control del presupuesto de la Nación.].",India_2016/1772,"The Legislature of a State may, for the purpose of the timely completion of financial business, regulate by law the procedure of, and the conduct of business in, the House or Houses of the Legislature of the State in relation to any financial matter or to any Bill for the appropriation of moneys out of the Consolidated Fund of the State, and, if and so far as any provision of any law so made is inconsistent with any rule made by the House or either House of the Legislature of the State under clause (1) of article 208 or with any rule or standing order having effect in relation to the Legislature of the State under clause (2) of that article, such provision shall prevail.",
"Administración financiera del estado. Véase “Constitución económica” [Es el plexo normativo constitucional que regula los principios orientadores de la economía, los instrumentos de política económica, los derechos constitucionales de la esfera económica y el diseño institucional de la administración financiera del Estado.]. Véase “Sistema presupuestario” [Conjunto de principios y reglas que rigen la preparación, aprobación, ejecución y control del presupuesto de la Nación.].",Guatemala_1993/1110,"The General Budget of [the] Revenues and Expenditures of the State and its analytical execution are public documents, accessible to any citizen who would like to consult them, to which effect the Ministry of Public Finances shall arrange that copies of it are available [obren] in the National Library, the General Archive of Central America and the libraries of the universities of the country. The other institutions of the government and the decentralized and autonomous entities that manage their own budgets shall proceed in equal form. The public functionary that impedes or makes consultation difficult will incur in penal responsibility.",
"Administración financiera del estado. Véase “Constitución económica” [Es el plexo normativo constitucional que regula los principios orientadores de la economía, los instrumentos de política económica, los derechos constitucionales de la esfera económica y el diseño institucional de la administración financiera del Estado.]. Véase “Sistema presupuestario” [Conjunto de principios y reglas que rigen la preparación, aprobación, ejecución y control del presupuesto de la Nación.].",Colombia_2015/1860,"The general management of the economy is the responsibility of the state. By mandate of an Act, the state shall intervene in the exploitation of natural resources, land use, the production, distribution, use, and consumption of goods, and in the public and private services in order to rationalize the economy with the purpose of achieving, at the national and regional level and within the framework of fiscal sustainability, the improvement of the quality of life of the inhabitants, the equitable distribution of opportunities, and the benefits of development and conservation of a healthy environment. The aforementioned framework of fiscal sustainability must function as an instrument for achieving in a progressive manner the objectives of a social State based on the rule of law. In all cases public spending for social purposes shall have priority.","['env', 'standliv']"
"Administración local. Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”).",Venezuela_2009/642,"When two or more Municipalities belonging to the same federal organ have economic, social and physical relations that give the group the characteristics of a metropolitan area, they may organize themselves as metropolitan districts. The organic law enacted for the purpose shall guarantee the democratic and participatory character of the metropolitan government and shall establish its functional competence, as well as its tax, financial and control regime. It shall also ensure that the Municipalities have adequate participation in the entities of the metropolitan government, and shall indicate the manner in which the public consultations that are to decide upon affiliation of the Municipalities with the metropolitan district.",
"Administración local. Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”).",Venezuela_2009/648,"A Municipality shall have the power to create parishes on such terms as may be determined by law. The legislation enacted to implement constitutional principles relating to the organization of Municipalities shall establish the premises and conditions for the creation of other local entities within the territory of the Municipality, as well as the resources that shall be available to them, depending on the functions assigned to them, including their share in the Municipality’s own revenues. Their creation shall take into account neighborhood or community initiative, in order to provide for the decentralization of the administration of the Municipality, citizen participation and the providing of better public services. In no event shall parishes be assumed to be the only possible divisions, or to be required divisions, of the territory of a Municipality.",
"Administración local. Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”).",Venezuela_2009/654,"The Office of the Municipal Comptroller shall be in charge of control, vigilance and auditing of municipal revenues, expenses and property, as well as transactions relating to the same, without prejudice to the scope of the attributions of the Office of the General Comptroller, and the official in charge of the office shall be the Municipal Comptroller, designated by the Council through a public competition to guarantee the capability and ability of the person designated to hold this office, on the terms established by law.",
"Administración local. Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”).",Venezuela_2009/658,"A Municipality has competence to govern and administrate its interests, as well as over the management of those matters which are assigned to it by this Constitution and national laws as regards local life, in particular the ordering and promotion of economic and social development, the equipping and providing of household public utility services, the application of policy with respect to these matters on a basis of fairness, justice and social interest content, according with delegation established on law related to this matter, the promotion of participation and improvement, in general, of living conditions in the community, in the following areas:",
"Administración local. Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”).",Dominican_Republic_2015/1203,"The National District, the municipalities and municipal districts constitute the base of the local political administrative system. They are juridical persons of Public Right, responsible for their actions, enjoy their own patrimony, budgetary autonomy, with normative and administrative power and the power of the use of their land, fixed in express manner by the law and subject to the power of supervision of the State and to the social control of the citizenry, in the terms established by this Constitution and the laws.",
