comparison_topic_key,comparison_topic_text,segment_id,segment_text,tagged_ccp_topics
9,"Acciones de salud. Son los ámbitos de protección del derecho a la salud que el legislador garantiza mediante prestaciones pro mocionales, protectoras, recuperativas y rehabilitadoras de la misma, que constituyen el objeto del derecho constitucional contemplado en el art. 19 Nº 9. Las acciones de salud constitucionalmente reguladas son cuatro: acciones de promoción, protección, recuperación y rehabilitación del in dividuo (véase, “Derecho a la protección de la salud”).",Venezuela_2009/291,"Health is a fundamental social right and the responsibility of the State, which shall guarantee it as part of the right to life. The State shall promote and develop policies oriented toward improving the quality of life, common welfare and access to services. All persons have the right to protection of health, as well as the duty to participate actively in the furtherance and protection of the same, and to comply with such health and hygiene measures as may be established by law, and in accordance with international conventions and treaties signed and ratified by the Republic.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Iceland_2013/36,Ministers are accountable for all executive acts. The accountability of the Ministers is established by law. Althingi may impeach Ministers on account of their official acts. The Court of Impeachment has competence in such cases.,
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Sweden_2012/616,"A person who is currently, or who has been previously, a minister may only be held accountable for a criminal act committed in the performance of his or her ministerial duties only if he or she has grossly neglected his or her official duty by committing the criminal act. A decision to institute criminal proceedings shall be taken by the Committee on the Constitution and the case tried before the Supreme Court.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Samoa_2017/623,"The Head of State, acting (in the case of the Chief Justice) on the advice of the Prime Minister or (in the case of any other Judge of the Supreme Court) on the advice of the Judicial Service Commission, may at any time when the Legislative Assembly is not meeting suspend a Judge of the Supreme Court from his or her office, and such suspension, unless previously revoked, shall continue in force until the end of the next ensuing session and no longer.",['jc']
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Niger_2017/324,"The acts of the Prime Minister are countersigned, the case arising, by the Ministers charged with their execution.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Egypt_2019/332,"Court decisions shall be issued and implemented in the name of the people. The state guarantees the means of implementing them as regulated by the law. Refraining from implementing or impeding implementation by the competent public servants is a crime that is punishable by law. The prevailing party in such a case may file a criminal suit directly with the competent court. Upon the request of the prevailing party, the public prosecution must raise criminal proceedings against the public servant who refrained from implementing the decision or impeded it.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Greece_2008/854,"A motion for prosecution is submitted by at least thirty Members of Parliament. The Parliament, by resolution adopted by the absolute majority of the total number of its Members, sets up a special parliamentary committee to conduct a preliminary examination; otherwise the motion is rejected as manifestly unfounded. The findings of the committee of the preceding section are introduced to the Plenum of Parliament, which decides whether prosecution shall start or not. The relevant resolution is adopted by an absolute majority of the total number of Members of Parliament.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Senegal_2016/485,"The Prime Minister and the other members of the Government are criminally responsible for acts accomplished in the exercise of their functions and [that are] qualified as crimes or misdemeanors at the moment when they were committed. They are judged by the High Court of Justice. The procedure defined above is applicable to them, as well as to their accomplices, in the case of conspiracy against the security of the State. In the cases specified in this paragraph, the High Court is bound by the definition of crimes and misdemeanors as well as by the determination of the penalties, such as they result from the criminal laws in force at the moment when the acts were committed.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Belgium_2014/578,"Ministers are tried exclusively by the appeal court for offences they have allegedly committed in the exercise of their duties. The same rule applies in the case of offences allegedly committed by ministers outside the exercise of their duties and for which they are tried during the exercise of their duties. As the case may be, Articles 59 and 120 are not applicable.",
10,"Acciones judiciales contra ministros de es tado. Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",Mauritania_2012/372,"The Prime Minister and the members of the Government are criminally responsible for the acts accomplished in the exercise of their functions and qualified as crimes or misdemeanors at the moment when they were committed. The procedure defined above is applicable to them as well as to their accomplices in the case of conspiracy against the security of the State. In the case specified in the present paragraph, the High Court of Justice is bound by the definition of crimes and misdemeanors as well as by the determination of the penalties as they result from the criminal laws in force at the moment when the acts were committed.",
13,"Acuerdos parlamentarios. Son las decisiones camara les que adopta el Senado o la Cámara de Diputados sobre el mérito de distintas cuestiones políticas relativas al gobierno y la administración del  Estado, tanto de orden nacional como internacional.",Madagascar_2010/319,The Parliament is composed of the National Assembly and the Senate. It votes the law. It controls the action of the Government. It evaluates the public policies.,
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Burkina_Faso_2015/215,The Government is an organ of the Executive.,
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Turkey_2017/628,"The State Supervisory Council which was established under the Office of the Presidency of the Republic, with the purpose of ensuring the lawfulness, regular and efficient functioning and improvement of administration, conduct all administrative investigations, inquiries, investigations and inspections of all public bodies and organizations, all enterprises in which those public bodies and organizations share more than half of the capital, public professional organizations, employers’ associations and labour unions at all levels, and public welfare associations and foundations, upon the request of the President of the Republic.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",China_2018/491,"The organs of self-government of autonomous regions, prefectures and counties exercise the functions and powers of local organs of state as specified in Section V of Chapter III of the Constitution. At the same time, they exercise the right of autonomy within the limits of their authority as prescribed by the Constitution, the law of regional national autonomy and other laws, and implement the laws and policies of the state in the light of the existing local situation.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Macedonia_2011/376,The state administration consists of Ministries and other administrative bodies and organizations determined by law. Political organization and activities within bodies of state administration are prohibited. The organization and work of the bodies of state administration are regulated by a law to be adopted by a two-thirds majority vote of all Representatives.,
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Honduras_2013/13,"The form of government is republican, democratic and representative. It is exercised by three branches: Legislative, Executive and Judicial, which are complementary, independent, and not subordinate to one another.",['system']
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Honduras_2013/1497,"The state may establish zones of the country subject to special regimes which shall have juridical personality, and are subject to a special fiscal regime and may incur obligations which do not require the guarantee or collateral of the state in solidarity, and may create contracts until the fulfillment of their timely objectives and during various governments. They shall enjoy functional and administrative autonomy that shall include the functions, abilities, and obligations that the Constitution and the laws confer on the municipalities.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Venezuela_2009/575,"Each State shall have a Comptroller’s Office which shall enjoy structural and operating autonomy. The State Comptroller’s Office shall exercise, in accordance with this Constitution and in accordance with law, control, vigilance and auditing authority over state revenues, expenses and assets, without prejudice to the scope of the functions of the Office of the General Comptroller of the Republic. This body shall act under the direction and responsibility of a Comptroller, whose qualifications to serve in this position shall be determined by law, guaranteeing his capability and independence, as well as the neutrality of his appointment, which shall be by public competition.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Dominican_Republic_2015/12,"The government of the Nation is essentially civilian, republican, democratic, and representative. It is divided in the Legislative Power, the Executive Power, and the Judicial Power. These three powers are independent in the exercise of their respective duties. Their officials are responsible and may not delegate their responsibilities, which are determined solely by this Constitution and the law.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Dominican_Republic_2015/1203,"The National District, the municipalities and municipal districts constitute the base of the local political administrative system. They are juridical persons of Public Right, responsible for their actions, enjoy their own patrimony, budgetary autonomy, with normative and administrative power and the power of the use of their land, fixed in express manner by the law and subject to the power of supervision of the State and to the social control of the citizenry, in the terms established by this Constitution and the laws.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Chile_2021/839,"An autonomous body with the name of Office of the Comptroller General of the Republic shall exercise control over the legality of the accts of the Administration, will oversee the income and investment of funds from the Treasury, municipalities and other organisms and services that the laws determine; will review and judge the accounts of people who have been entrusted with goods from those entities; will be in charge of the general accounting of the Nation; and will perform the other functions that are assigned to it by the respective constitutional organic law.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Laos_2015/292,"The government is the executive branch, which has the role of managing the State uniformly throughout the country.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Tajikistan_2016/407,"Local agencies of state power shall consist of representative and executive organs which function within the limits of their powers. They ensure the implementation of the Constitution, laws, joint resolutions of the Majlisi Milli and the Majlisi Namoyandagon, resolutions of the Majlisi Milli, resolutions of the Majlisi Namoyandagon, [and] acts of the President and the Government of the Republic of Tajikistan.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Guatemala_1993/1108,"The Organs, [and] the decentralized and autonomous entities may have budgets and private funds when the law so provides, their budgets will obligatorily be sent annually to the Executive Organ and to the Congress of the Republic, for their information and inclusion into the general budget and will, additionally[,] be subject to the control and supervision of the corresponding organs of the State. The Law may establish other cases in which the funds of dependencies of the Executive will be administered in [a] private form to assure their efficiency. The noncompliance with this provision is punishable and the functionaries under whose direction the dependencies function shall be held personally responsible.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Austria_2013/1406,"A Land Government, when it draws up its Standing Orders, can decide that specific categories of business pertaining to the indirect Federal administration shall be conducted by members of the Land Government in the name of the Governor because of their substantive relationship with matters pertaining to the Land's autonomous sphere of competence. In such business the members concerned of the Land Government are as much bound by the instructions of the Governor (Art 20) as is the latter by the instructions of the Federal Government or individual Federal Ministers.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Austria_2013/1586,"The self administrating bodies are authorized to take care of their tasks in own responsibility without instructions and to render statutes in the frame of the laws. The Federation or the Land have a right of supervision over them on the basis of the legal regulations with regard to the legality of the handling of the administration. Such right of supervision may also extend to the expedience of the handling of the administration, if such is required because of the tasks of the self administrating body. By law ways of participation of the self administering bodies in the public execution maybe provided.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Syria_2012/518,"The organization of local administration units is based on applying the principle of decentralization of authorities and responsibilities. The law states the relationship between these units and the central authority, their mandate, financial revenues and control over their work. It also states the way their heads are appointed or elected, their authorities and the authorities of heads of sectors.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Peru_2021/232,"All public officials and civil servants are in the service of the Nation. The President of the Republic is the highest official in the service of the Nation, followed by, in this order of importance: Congressmen, members of the Cabinet, members of the Constitutional Court and the Council of the Magistracy, Justices of the Supreme Court, the Prosecutor General of the Nation and the Ombudsman, in the same category, and the representatives of the decentralized agencies and Mayors, in accordance with the law.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Peru_2021/1091,"Local and regional governments are controlled by their own oversight bodies and by those other bodies set forth in the Constitution or any other statute. They are subject to control and supervision by the Office of the Comptroller General of the Republic, which executes a decentralized and continued oversight system. Such governments formulate their budgets with citizen participation, and are accountable for their annual execution, in accordance with the law.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Panama_2004/1003,"As fundamental entity of the political-administrative structure of the State with its own democratic and autonomous self-government it is the duty of the municipality to provide the services and carry out the public works determined by law, to structure the development of its territory, to promote citizen participation as well as the cultural and social improvement of its inhabitants and to fulfill the other functions assigned to it by the Constitution and the law.",
15,"Administración del estado. Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",Yemen_2015/86,"The state is the authority to establish the armed forces, the police, the security forces and any such bodies. Such forces belong to all the people and their function is to protect the republic and safeguard its territories and security. No organization, individual, group, political party or organization may establish forces or paramilitary groups for whatever purpose or under any name. The law stipulates the conditions for military service, promotion and disciplinary procedures in the military, police and security forces.",
