comparison_topic,segment_id,segment_text,tagged_ccp_topics
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,India_2016/1988,"a body, whether elected or partly nominated and partly elected, to function as a Legislature for the Union territory, or",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,India_2016/2580,"a body, whether elected or partly nominated and partly elected, to function as a Legislature for the autonomous State, or",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Malawi_2017/799,"The Electoral Commission shall exercise its powers, functions and duties under this section independent of any direction or interference by other authority or any person.",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Bolivia_2009/925,"Taking part as an elector or being eligible to be part of and exercise functions in the bodies of popular power, and",['voteres']
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,United_Kingdom_2013/12878,"as a member of a selection commission (including functions of chairing a selection commission), or",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Central_African_Republic_2016/143,"The eligible institutions, responsible for [chargées de] directing the State, have their power from the people by way of [par voie d'] elections, by direct or indirect universal suffrage",['voteun']
"National Election Commission. A common title for an independent EMB under the Independent or Mixed Model of electoral management, with competencies over the entire territory of a country",Burundi_2018/621,The Independent National Electoral Commission verifies the admissibility of candidacies. These candidacies come from political parties or independents.,
Polling official. An member of staff who participates in the administration of a polling station on polling day. Polling officials may or may not be members of the staff of an EMB,Cuba_2019/1273,Persons that are nominated or who occupy popularly elected offices may not be members of the electoral organs.,['profleg']
Polling station. A venue established for the purpose of polling and controlled by polling officials,Mexico_2015/828,Count and scrutiny for the election of the local executive power;,
"Pre-electoral period. One of three periods of the electoral cycle, during which planning and preparation for the conduct of elections take place, and during which legal and procedural provisions are reviewed",Cambodia_2008/355,"The preparation, procedures and process of the nomination and election of the Senators, as well as the definition of the electors, electorates and constituencies shall be determined by law.",
Regional EMB. An electoral management body at a sub-national level,Albania_2016/423,The multi-name electoral zone corresponds to the administrative division of one of the levels of the administrative-territorial organization.,
Tabulation. The process of compiling the result of counting of votes cast in an electoral process. Also known as amalgamation of results,East_Timor_2002/1163,to validate and proclaim the results of the electoral process.,
Term of office. The period of time for which a member of an organization serves following election or appointment,Kenya_2010/4021,"is, or has at any time been, a candidate for election as a member of Parliament or of a county assembly; or",
Term of office. The period of time for which a member of an organization serves following election or appointment,Swaziland_2005/1259,is or was at any time during that period the holder of an office in any organisation that sponsors or supports or has at any time sponsored or supported a candidate for election as a member of the House or Bucopho committee.,
Term of office. The period of time for which a member of an organization serves following election or appointment,Papua_New_Guinea_2016/5594,"the position of an elected member, whether or not the position is for the time being filled; and",
Term of office. The period of time for which a member of an organization serves following election or appointment,St_Vincent_and_the_Grenadines_1979/606,"he is, or has at any time during that period been, nominated as a candidate for election as a Representative;",
Term of office. The period of time for which a member of an organization serves following election or appointment,St_Vincent_and_the_Grenadines_1979/1400,"he is, or has at any time during that period been, nominated as a candidate for election as a Representative; or",
Term of office. The period of time for which a member of an organization serves following election or appointment,Czech_Republic_2013/187,Sessions of the Assembly of Deputies conclude upon the expiration of the electoral term or by its dissolution.,
Term of office. The period of time for which a member of an organization serves following election or appointment,Pakistan_2018/2915,the term of office of a person elected or chosen to fill a casual vacancy shall be the unexpired term of the member whose vacancy he is elected or chosen to fill;,
Term of office. The period of time for which a member of an organization serves following election or appointment,India_2016/2562,"whoever, before, during or after the election of members of the board or office bearers, adopts any corrupt practice.",
Term of office. The period of time for which a member of an organization serves following election or appointment,St_Kitts_and_Nevis_1983/2257,An elected or appointed member shall vacate his seat in the Assembly at the next dissolution of the Legislature after his election or appointment.,
Term of office. The period of time for which a member of an organization serves following election or appointment,Solomon_Islands_2018/847,a member of or candidate for election to:,
Term of office. The period of time for which a member of an organization serves following election or appointment,Solomon_Islands_2018/859,when the member's period of appointment expires; or,
Term of office. The period of time for which a member of an organization serves following election or appointment,Gambia_2018/583,"A candidate for election to the office of President shall, on or before nomination day-",
Term of office. The period of time for which a member of an organization serves following election or appointment,Botswana_2016/847,"he or she is, or was at any time during that period, the holder of an office in any political organization that sponsors or supports, or has at any time sponsored or supported, a candidate for election as a Member of the National Assembly:",
"Block Vote (BV). Block Vote is a plurality/majority system used in multi-member districts. Electors have as many votes as there are candidates to be elected. The candidates with the highest vote totals win the seats. Usually voters vote for candidates rather than parties and in most systems may use as many, or as few, of their votes as they wish.",Sri_Lanka_2015/1328,"The number of votes polled by each recognised political party and independent group (other than those parties or groups disqualified under paragraph (6) of this Article) beginning with the party or group which polled the highest number of votes shall then be divided by the resulting number and the returning officer shall declare elected from each such party or group, in accordance with the preferences secured by each of the candidates nominated by such party or group (the candidate securing the highest number of preferences being declared elected first, the candidate securing the next number of preferences being declared next and so on) such number of candidates (excluding the candidate declared elected under paragraph (5) of this Article) as is equivalent to the whole number resulting from the division by the resulting number of the votes polled by such party or group. The remainder of the votes, if any, after such division, shall be dealt with if necessary, under paragraph (9) of this Article.",
"Block Vote (BV). Block Vote is a plurality/majority system used in multi-member districts. Electors have as many votes as there are candidates to be elected. The candidates with the highest vote totals win the seats. Usually voters vote for candidates rather than parties and in most systems may use as many, or as few, of their votes as they wish.",Sri_Lanka_2015/1334,"Where the number of votes polled by each recognised political party or independent group is less than the resulting number referred to in paragraph (7) of this Article the party or group which has polled the highest number of votes shall be entitled to have the candidate, nominated by that party or group (excluding the candidate declared elected under paragraph (5) of this Article) who has secured the highest number of preferences declared elected and if there are one or more members yet to be declared elected, the party or group having the next highest number of votes polled shall be entitled to have the candidate nominated by that party or group who has secured the highest number of preferences declared elected and so on, until all the members to be elected for that electoral district are declared elected under the provisions of this paragraph.",
Borda Count (BC). Borda Count (BC) - A candidate-centred preferential system used in either single- or multimember districts in which voters use numbers to mark their preferences on the ballot paper and each preference marked is then assigned a value using equal steps. These are summed and the candidate(s) with the highest total(s) is/are declared elected.,Sweden_2012/2429,"The Speaker moves adoption of the agreed list and, if it is adopted, declares the persons listed to be elected. Election shall however be by secret ballot, if so requested by at least as many members as correspond to the figure obtained if the sum total of members entitled to vote is divided by the number of persons to whom the election relates, increased by one. If the figure obtained is not a whole number, it is rounded up to the next higher whole number. This election shall be held at a later meeting.",
"Appeal. A request made to a higher EDRB to confirm, reverse or modify a decision made by a lower EDRB.",New_Zealand_2014/14565,"confirm, modify, or revoke a decision confirmed or modified under subsection (2).",
"Arbitrator. An attorney or other person selected to hear a case and settle a dispute without a formal trial, through a process of arbitration.",Zimbabwe_2017/2472,"tribunals for arbitration, mediation and other forms of alternative dispute resolution.",
"Arbitrator. An attorney or other person selected to hear a case and settle a dispute without a formal trial, through a process of arbitration.",Uganda_2017/720,to appear in person or by a lawyer of his or her choice at the hearing or review of his or her case.,
Boundary delimitation. The process for determining the way in which constituency or electoral area boundaries are drawn; it deals with the division of a country into electoral districts and the allocation of electors to electoral districts and polling sites. Sometimes called districting or boundary demarcation. Also known as delimitation.,Austria_2013/581,"The Federal territory will be divided into self-contained constituencies whose boundaries may not overlap the Laender boundaries; these constituencies shall be sub-divided into self-contained regional constituencies. The number of deputies will be divided among the qualified voters of the constituencies (electoral bodies) in proportion to the number of nationals who in accordance with the result of the last census had their principal domicile in a particular constituency plus the number of those who on the day of the census did not have their principal domicile in Federal territory, but were entered on the electoral register of a municipality pertaining to that particular constituency; the number of deputies allocated to a constituency will be divided in the same way among the regional constituencies. The National Council electoral regulations shall provide for a final distribution procedure relating to the whole Federal territory whereby in accordance with the principles of proportional representation which ensures a balance between the seats allocated to the parties standing for election in the constituencies and the distribution of the as yet unallocated seats. A division of the electorate into other electoral bodies is not admissible.","['lhselect', 'district']"
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Kenya_2010/2216,declare the result of the election; and,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Congo_2015/677,It examines the claims and proclaims the definitive results of the ballot.,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Lesotho_2018/1013,"to ascertain, publish and declare the results of elections an referenda;",['referen']
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Cote_DIvoire_2016/539,It supervises the regularity of referendum operations and declares the results.,['referen']
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,France_2008/288,It shall examine complaints and shall proclaim the results of the vote.,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Uganda_2017/894,"to ascertain, publish and declare in writing under its seal the results of the elections and referenda;",['referen']
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,East_Timor_2002/1163,to validate and proclaim the results of the electoral process.,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Albania_2016/988,constitutionality of the referendum and verification of its results;,['referen']
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Austria_2013/725,The result of a referendum shall be officially announced.,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Colombia_2015/1407,"To count the votes in all national elections, to declare the results of the election, and to issue the certifications as appropriate.",
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Mexico_2015/805,Declaring the validity of the election and issuing the electoral certification for the elected deputies and senators;,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Mexico_2015/826,Declaring the validity of the election and issuing the electoral certification for the elected local officers;,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Madagascar_2010/621,proclaims the official result of the presidential and legislative elections and of the consultations by referendum.,
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Peru_2021/936,"To declare the winners in elections and issue their credentials, as well as to announce the results of referendum or other popular vote.",
Certification of results. The formal endorsement and confirmation of the announcement of electoral results.,Mauritania_2012/336,It examines the complaints and proclaims the results of the ballot.,
Civic education. An information and/or educational programme which is designed to increase the comprehension and knowledge of citizens’ rights and responsibilities.,Philippines_1987/808,"Establish a continuing program of research, education, and information to enhance respect for the primacy of human rights.",
Civic education. An information and/or educational programme which is designed to increase the comprehension and knowledge of citizens’ rights and responsibilities.,Papua_New_Guinea_2016/1378,"have a reasonable knowledge and understanding of the rights, privileges, responsibilities and duties of citizenship; and",
Civic education. An information and/or educational programme which is designed to increase the comprehension and knowledge of citizens’ rights and responsibilities.,South_Sudan_2013/1517,"formulate, implement and oversee programmes intended to inculcate in the citizens awareness of their civic responsibilities and understanding of their rights and obligations as citizens;",
"Code of conduct. A set of general rules of behaviour, for example for members and/or staff of an EMB, or for political parties, with respect to participation in an electoral process.",Zimbabwe_2017/2155,"a code of conduct for political parties, candidates and other persons participating in elections or referendums;",['partreg']
"Common law. Law developed by judges through decisions of courts and similar tribunals (also called case law), rather than through legislative statutes or executive branch action. These decisions stand as precedents and the principle of stare decisis applies.",Chile_2021/676,"To enforce their resolutions, and to practice or have practiced the acts of instruction established by law, the ordinary and special courts of justice that make up the Judiciary, may issue direct orders to the public force or exercise the conductive means of action of which they dispose. Other courts will do so in the manner established by law.",
"Common law. Law developed by judges through decisions of courts and similar tribunals (also called case law), rather than through legislative statutes or executive branch action. These decisions stand as precedents and the principle of stare decisis applies.",Cuba_2019/940,The law establishes the objective principles of the judiciary's activity and regulates the organization of the courts; the jurisdiction and the extension of their competencies; the form in which they are constituted in order to administer justice; the participation of the lay judges; the requirements to serve as a magistrate within the People's Supreme Court or as a judge; the form of election of these as well as the causes and procedures for the removal or the cessation of their functions.,"['hocsel', 'hocres', 'jrem']"
Conciliation. A method of dispute resolution by means of discussion and settlement without going to court.,Venezuela_2009/1082,"The law shall encourage arbitration, conciliation, mediation and any other alternative means for resolving conflicts.",
Conciliation. A method of dispute resolution by means of discussion and settlement without going to court.,Papua_New_Guinea_2016/5254,"recourse to the dispute resolution procedure,",
Conciliation. A method of dispute resolution by means of discussion and settlement without going to court.,Zimbabwe_2017/2472,"tribunals for arbitration, mediation and other forms of alternative dispute resolution.",
Conciliation. A method of dispute resolution by means of discussion and settlement without going to court.,Kuwait_1992/426,The Law shall determine the method for deciding disputes concerning jurisdiction between branches of the Judiciary and conflicting decisions.,
Conciliation. A method of dispute resolution by means of discussion and settlement without going to court.,Somalia_2012/462,The resolution of disputes through dialogue and reconciliation.,
Conciliation. A method of dispute resolution by means of discussion and settlement without going to court.,Yemen_2015/476,Judge disputes over conflict of jurisdiction.,
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process.,Lesotho_2018/1015,to adjudicate complaints of alleged irregularities in any aspect of the electoral or referendum process at any stage other than in an election petition; and,['referen']
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process.,New_Zealand_2014/3570,relates to electoral matters or the conduct of any general election or by-election; and,
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process.,Uruguay_2004/1366,To act in all matters relating to electoral acts or procedures;,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,Fiji_2013/1166,a person who had the right to vote in the election concerned;,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,New_Zealand_2014/10322,In this section the term voter includes any person who has or claims to have a right to vote.,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,New_Zealand_2014/10475,a person who voted or had a right to vote at the election:,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,New_Zealand_2014/10477,a person claiming to have had a right to be elected or returned at the election:,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,Sweden_2012/166,The question of whether a person has the right to vote is determined on the basis of an electoral roll drawn up prior to the election.,['voteres']
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,Taiwan_2005/523,Intimidation or inducements of a pecuniary nature are strictly forbidden in elections. Electoral disputes shall be settled by law courts.,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,Barbados_2007/870,is disqualified for such membership by or under any such law by reason of his having been convicted of making a false declaration of qualification for election;,
Electoral challenge. A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.,Thailand_2017/450,"being under temporary suspension of the right to stand for election, or being a person whose right to stand for election has been revoked;",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Azerbaijan_2016/38,"The election, appointment or confirmation of officials, whose election, appointment or confirmation are within the competence of the legislative organs and (or) the executive power.",
"Electoral regulations. Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election.",Jordan_2016/331,"A law shall establish an independent body to manage the parliamentary and municipal elections, as well as any other general elections, in accordance with the provisions of the law. The Council of Ministers may assign the independent body to manage or supervise any other elections at the request of the entity authorized by law to conduct such elections.","['mun', 'ecom']"
